world_seed,color,n_rows,n_links,steps_median,steps_min,steps_max
5626,blue,28,1,383.5,370,397
485,green,1,1,92.0,92,92
11543,blue,1,1,111.0,111,111
11446,yellow,1,1,139.0,139,139
11446,magenta,1,1,138.0,138,138
11446,green,1,1,137.0,137,137
485,magenta,1,1,90.0,90,90
9603,blue,1,1,130.0,130,130
485,yellow,1,1,91.0,91,91
7275,blue,1,1,88.0,88,88
7275,yellow,1,1,90.0,90,90
7954,blue,1,1,88.0,88,88
7954,green,1,1,87.0,87,87
8245,magenta,1,1,228.0,228,228
7954,magenta,1,1,86.0,86,86
11543,yellow,1,1,112.0,112,112
