step,r2_train,r2_test,mse_train,mse_test,n_samples
"(86, 6)",0.9987341361003086,,0.0017991984813899556,0.0017991979828077616,2
"(86, 9)",0.9985441926323753,,0.002135744691924685,0.003955692495461697,3
"(87, 6)",0.9986753300787754,,0.0018633467066287213,0.0018633550709221463,2
"(87, 9)",0.9970337258190616,,0.003526009613863196,0.0068788635838059635,3
"(88, 6)",0.998601832837949,,0.0019448036032466759,0.00194481039303721,2
"(88, 9)",0.9983808811836001,,0.0022067974126265158,0.004073635216186938,3
"(89, 6)",0.9989895772165809,,0.0013901325598017706,0.001390131488336009,2
"(89, 9)",0.9982273995856343,,0.0026859364286911224,0.005044845480438754,3
"(90, 6)",0.9982639572261723,,0.0023629330587667642,0.0023629255285251474,2
"(90, 9)",0.9980099772878492,,0.0025880723248655375,0.004867736489372024,3
"(91, 6)",0.9986905099905906,,0.0017623399972473456,0.0017623365005079133,2
"(91, 9)",0.9990027600477682,,0.0011397546653330848,0.002076607231924385,3
"(92, 6)",0.9978570579088637,,0.0028514912772691016,0.0028514826458620837,2
"(92, 9)",0.9961059159193174,,0.005319909636269927,0.01043333998592012,3
"(93, 6)",0.9988453810238958,,0.0015195654755964852,0.0015195633063998307,2
"(93, 9)",0.9963738981398618,,0.004461340641873151,0.008699715714192771,3
"(94, 6)",0.9986218928252996,,0.0017929311665589762,0.001792937326547932,2
"(94, 9)",0.9956706030515646,,0.005830875158989992,0.011389559048607095,3
"(95, 6)",0.9986041932928985,,0.0017949238583646198,0.0017949199757518093,2
"(95, 9)",0.9974933076440171,,0.003738050941300129,0.007236999510146036,3
"(96, 6)",0.9984338446819419,,0.0019922810827315623,0.0019922776388992987,2
"(96, 9)",0.9962029802397071,,0.00589171743043871,0.011347421395710417,3
"(97, 6)",0.9983620724961495,,0.0020586930912535493,0.002058692785813693,2
"(97, 9)",0.997358221685089,,0.003359332913013439,0.006442339563839494,3
"(98, 6)",0.9992940330478628,,0.0008764676449466012,0.000876469383074557,2
"(98, 9)",0.9990624737105022,,0.0009687879932385946,0.0017295936969338142,3
"(99, 6)",0.9984724067074657,,0.0018724487410882523,0.0018724451135503084,2
"(99, 9)",0.9981976165254207,,0.002902587865793882,0.0052336924047387615,3
"(100, 6)",0.9981306123449567,,0.0022581223755704927,0.002258133060545881,2
"(100, 9)",0.9969237384816223,,0.003924795572409924,0.007514940151032019,3
"(101, 6)",0.9969935144543138,,0.003578715790161335,0.003578715360830067,2
"(101, 9)",0.999075113784363,,0.0007367161476655196,0.0012464595578750163,3
"(102, 6)",0.9977268621772111,,0.002664901181891643,0.0026649044135018023,2
"(102, 9)",0.9985301406384084,,0.00135719510533412,0.0025557111804336598,3
"(103, 6)",0.9969719325508882,,0.003491629671763508,0.0034916227672503546,2
"(103, 9)",0.9956927622459566,,0.006136506020960883,0.011778293428669692,3
"(104, 6)",0.997960977660779,,0.002311591524258322,0.0023115972928440687,2
"(104, 9)",0.9979545311763327,,0.002526059880112142,0.004808119195163183,3
"(105, 6)",0.997848369018528,,0.0024000552588725774,0.002400053763384391,2
"(105, 9)",0.9973306638984227,,0.0018908761960803678,0.003598122882756241,3
"(106, 6)",0.9968338177733839,,0.0034710050001374847,0.0034710130840142376,2
"(106, 9)",0.9957460887510543,,0.005349196136295974,0.010405153458950551,3
"(107, 6)",0.9971425514690163,,0.003079030487734275,0.0030790310983347434,2
"(107, 9)",0.9981555392119776,,0.0027608664783221356,0.004865946833830046,3
"(108, 6)",0.9979656569023327,,0.002152621111015352,0.0021526323470768285,2
"(108, 9)",0.995821623283213,,0.0049390232768200485,0.00950659611396858,3
"(109, 6)",0.9978027269991563,,0.0022806857469105653,0.0022806904081630512,2
"(109, 9)",0.9973387429471763,,0.0036972513457885084,0.006778179249162411,3
"(110, 6)",0.997067686418915,,0.002984060770611719,0.002984060862544774,2
"(110, 9)",0.9960424879638766,,0.004673872073552982,0.008946884497764448,3
"(111, 6)",0.9977644400874341,,0.0022318225976111113,0.0022318282291771685,2
"(111, 9)",0.9980443955945199,,0.002617710564560887,0.004627381270225683,3
"(112, 6)",0.9984213060262245,,0.0015444182639907501,0.0015444075506887505,2
"(112, 9)",0.9971300104898893,,0.003579488676319468,0.006700961268829855,3
"(113, 6)",0.9979105141253108,,0.0020035972821090438,0.0020035926237398924,2
"(113, 9)",0.9974138653698656,,0.003278413420452189,0.006168471272164508,3
"(114, 6)",0.9986610915620442,,0.0012579750456230524,0.0012579671693476197,2
"(114, 9)",0.9977108098376581,,0.0035283792769858686,0.006430295466037134,3
"(115, 6)",0.9979454305817261,,0.001890299468201876,0.0018903136436445671,2
"(115, 9)",0.997871442201217,,0.002898105749889906,0.0053902363537973366,3
"(116, 6)",0.9974594045674241,,0.00228791672167459,0.002287917757972646,2
"(116, 9)",0.9990404027311623,,0.001363308972011424,0.0022198408857671457,3
"(117, 6)",0.9980900752491072,,0.0016848643385012612,0.0016848712780198494,2
"(117, 9)",0.9984090104646124,,0.0021522638455768205,0.0038949561070467896,3
"(118, 6)",0.9984501235429146,,0.0013370346736794746,0.0013370372093971872,2
"(118, 9)",0.9991732891256242,,0.0012550803874561234,0.001953217425348915,3
"(119, 6)",0.998169000775456,,0.001546581184922184,0.0015465827979545873,2
"(119, 9)",0.9985503603517336,,0.0019610303122784135,0.0035468946441343163,3
"(120, 6)",0.9978205624263545,,0.0018028286172129982,0.0018028224734934085,2
"(120, 9)",0.9988793036793224,,0.0018085927645496464,0.003068990474651524,3
"(121, 6)",0.9978190655578525,,0.0017654800609615152,0.0017654854711193634,2
"(121, 9)",0.9988861726457188,,0.0015395995239248135,0.0027094464122972093,3
"(122, 6)",0.9979360034336014,,0.001635367541461988,0.0016353769776404428,2
"(122, 9)",0.9990008744679477,,0.0013539528875305892,0.002360018502104513,3
"(123, 6)",0.9983142114158274,,0.0013090754482435716,0.00130907253875873,2
"(123, 9)",0.9990444932914897,,0.0012255739234305878,0.0021238012785933214,3
"(124, 6)",0.9979471575461909,,0.001559342672298943,0.0015593404224180703,2
"(124, 9)",0.9990978046258271,,0.0011104461485976814,0.0018999999959038965,3
"(125, 6)",0.9983815989342879,,0.00120348703752458,0.0012034910205874314,2
"(125, 9)",0.9991310106727568,,0.0010282022721475209,0.0017450219809955231,3
"(126, 6)",0.9979132612364283,,0.001518837270969098,0.001518840252140535,2
"(126, 9)",0.9991444365709865,,0.0009776943993889614,0.0016574761093659327,3
"(127, 6)",0.9982572789699697,,0.001240544202242236,0.001240534683338226,2
"(127, 9)",0.9991670715786888,,0.0009135495362257448,0.001546397600351609,3
"(128, 6)",0.999016718150187,,0.0006846182711861594,0.0006846171813573835,2
"(128, 9)",0.9992467100232585,,0.0007586813836087482,0.001243086614126493,3
"(129, 6)",0.9984045810482125,,0.0010877077204178905,0.001087706586553068,2
"(129, 9)",0.9992248240908657,,0.0006621626849187697,0.001059977220987489,3
"(130, 6)",0.998574622863702,,0.0009501651315296293,0.000950162129876932,2
"(130, 9)",0.9991809897759487,,0.0006056733444743679,0.0009408637870407651,3
"(131, 6)",0.9986848886736964,,0.0008575585574023489,0.0008575576425042106,2
"(131, 9)",0.9991079050041297,,0.0005591470112742364,0.0008425607652875832,3
"(132, 6)",0.9990403972257511,,0.0006124913977587902,0.0006124890906353151,2
