target,auroc,auprc,ece
"cell(3,3)_ch9",0.9902694610778442,0.7821260560675883,0.0038459488951578446
"cell(3,3)_ch10",0.9641620037303491,0.5705304265681233,0.006044450867272618
"cell(3,3)_ch11",1.0,1.0,0.020358239179745618
"cell(3,4)_ch0",1.0,1.0,0.0006268374831038439
"cell(3,4)_ch1",1.0,0.9999999999999999,0.0008146868578290994
"cell(3,4)_ch2",1.0,1.0,0.0006236518912875937
"cell(3,4)_ch3",1.0,1.0,0.0005636057380140059
"cell(3,4)_ch4",1.0,1.0,0.0003020407896405736
"cell(3,4)_ch5",1.0,1.0,0.0006463153165020229
"cell(3,4)_ch6",1.0,1.0,0.00039599177547079684
"cell(3,4)_ch7",0.9999999999999999,1.0,0.0010708458551108848
"cell(3,4)_ch8",1.0,1.0,0.00033315003468236434
"cell(3,4)_ch9",1.0,1.0,0.0013949827830483403
"cell(3,4)_ch10",1.0,1.0,0.0004036096988906883
"cell(3,4)_ch11",0.9999999999999999,1.0,0.0008200441580210452
"cell(3,5)_ch0",1.0,1.0,0.0015185996940991233
"cell(3,5)_ch1",0.9999999999999999,1.0,0.010611520691813375
"cell(3,5)_ch2",1.0,1.0,0.0021931575746383966
"cell(3,5)_ch3",0.9999999999999999,1.0,0.0024531811993693505
"cell(3,5)_ch4",1.0,0.9999999999999999,0.0027368408801458403
"cell(3,5)_ch5",1.0,1.0,0.0008631121312794654
"cell(3,5)_ch6",0.9999999999999999,1.0,0.0023923700363383906
"cell(3,5)_ch7",0.9988220791672374,0.9847338202451338,0.016917824075341377
"cell(3,5)_ch8",1.0,1.0,0.0008205173933485006
"cell(3,5)_ch9",0.99985959563543,0.9982895663777143,0.0043027257905617075
"cell(3,5)_ch10",1.0,1.0000000000000002,0.0025438830604610266
"cell(3,5)_ch11",1.0,0.9999999999999999,0.0005539927207285357
"cell(3,6)_ch0",0.8753026634382566,0.28859123157871075,0.025680343502309806
"cell(3,6)_ch1",0.8939854191980559,0.388062893726451,0.02583949716873305
"cell(3,6)_ch2",0.8176792223572297,0.2363752310567851,0.025166411441874006
"cell(3,6)_ch3",0.7911178168459722,0.38040593357602903,0.10264961402903038
"cell(3,6)_ch4",0.8646483003593408,0.3401090476115213,0.08752500275951823
"cell(3,6)_ch5",0.9217668854069014,0.4835946195613498,0.07921809385385518
"cell(3,6)_ch6",0.938755163082182,0.49788786141453734,0.029249191502192566
"cell(3,6)_ch7",0.848510078878177,0.2732296022933561,0.04014203757419132
"cell(3,6)_ch8",0.9757457212713936,0.701269081542806,0.013341723971705648
"cell(3,6)_ch9",0.8953130929791271,0.42316337694281553,0.07857379084888146
"cell(3,6)_ch10",0.759129034991104,0.168415298038479,0.05786663448686083
"cell(3,6)_ch11",0.9685047720042418,0.6284278126891514,0.017274080341626554
"cell(4,0)_ch0",0.937681353511004,0.8220141279539627,0.027632328362240194
"cell(4,0)_ch1",0.7256038647342995,0.16451511586883058,0.10926961966386892
"cell(4,0)_ch2",0.8485153764581124,0.20766681433257472,0.07930747096742616
"cell(4,0)_ch3",0.7377920496069096,0.11729915389585988,0.07660314846038936
"cell(4,0)_ch4",0.8445661700262926,0.36377576321741995,0.03694422330082809
"cell(4,0)_ch5",0.6762311762311762,0.14045910414793986,0.04311382906874403
"cell(4,0)_ch6",0.8799683606881551,0.430176810972227,0.07433641414415734
"cell(4,0)_ch7",0.8986312399355877,0.20846596260993452,0.02398306056936178
"cell(4,0)_ch8",0.8384133314342685,0.2892720966383637,0.030248012798690025
"cell(4,0)_ch9",0.8241798298906441,0.22977274736309458,0.03092365424402904
"cell(4,0)_ch10",0.8399374348279457,0.2680972454274624,0.029622040038361122
"cell(4,0)_ch11",0.9204129416773095,0.5608281815029373,0.036645653634081995
"cell(4,1)_ch0",1.0,1.0,0.0028624025627006834
"cell(4,1)_ch1",1.0,1.0,0.0016828173962267028
"cell(4,1)_ch2",1.0,1.0,0.0021809955262984838
"cell(4,1)_ch3",1.0,1.0,0.006319870575525109
"cell(4,1)_ch4",0.9999179991799917,0.9978136200716846,0.0038332559092534263
"cell(4,1)_ch5",1.0,1.0,0.0015119386815665083
"cell(4,1)_ch6",1.0,1.0,0.0056129591986045
"cell(4,1)_ch7",0.9998784933171324,0.9954545454545455,0.004135614367554538
"cell(4,1)_ch8",1.0,1.0,0.0017712761025603537
"cell(4,1)_ch9",0.9995385325334564,0.9936134306530163,0.008512380664203035
"cell(4,1)_ch10",1.0,1.0,0.0021609972238628267
"cell(4,1)_ch11",1.0,1.0,0.00301385421876211
"cell(4,2)_ch0",1.0,1.0,0.0025403405316577433
"cell(4,2)_ch1",1.0,0.9999999999999998,0.0019101799187199117
"cell(4,2)_ch2",1.0,1.0,0.0014405450779171089
"cell(4,2)_ch3",0.9992358845153031,0.9905273937532002,0.017654649444101826
"cell(4,2)_ch4",0.9996678108736574,0.9902597402597403,0.0008718821676794584
"cell(4,2)_ch5",1.0,1.0,0.0005088335908335321
"cell(4,2)_ch6",1.0,1.0,0.0017342613448843825
"cell(4,2)_ch7",0.9999999999999999,1.0,0.0036443805822001566
"cell(4,2)_ch8",1.0,1.0,0.0006913639610933267
"cell(4,2)_ch9",1.0,0.9999999999999999,0.005226390779264656
"cell(4,2)_ch10",0.9999999999999999,1.0,0.0017314124799084445
"cell(4,2)_ch11",1.0,1.0,0.0005925115943260484
"cell(4,3)_ch0",1.0,1.0,0.0005074275270326465
"cell(4,3)_ch1",1.0,1.0,0.0007643247659675686
"cell(4,3)_ch2",1.0,1.0000000000000002,0.0006121046256930962
"cell(4,3)_ch3",1.0,1.0,0.0013572284125595879
"cell(4,3)_ch4",1.0,1.0,0.0005308348255122119
"cell(4,3)_ch5",0.9999999999999999,1.0,0.00014083427018615353
"cell(4,3)_ch6",0.9999999999999999,1.0,0.00048067806625705215
